id_parque,nome,activo,id_entidade,capacidade_max,ocupacao,data_ocupacao,latitude,longitude,tipo,data_ocupacao_hora,data_ocupacao_data
P057,Manuel Gouveia,1,7,90,59,2023-02-24 08:08:43,38.744327,-9.130995,Estrutura,8,2023-02-24
P044,Telheiras Nascente,1,7,26,7,2023-02-24 08:08:45,38.761512,-9.164886,Estrutura,8,2023-02-24
P048,Campo das Cebolas,1,7,105,29,2023-02-24 08:08:45,38.70888,-9.131141,Estrutura,8,2023-02-24
P040,Mercado de Alvalade,1,7,93,16,2023-02-24 08:08:46,38.755424,-9.139498,Superfície,8,2023-02-24
P042,Alcântara,1,7,82,57,2023-02-24 08:06:28,38.706007,-9.175066,Superfície,8,2023-02-24
P043,Ameixoeira,1,7,71,18,2023-02-24 08:08:45,38.779591,-9.158056,Superfície,8,2023-02-24
P035,Parque Mayer,1,7,46,0,2023-02-24 08:08:46,38.719062,-9.145547,Superfície,8,2023-02-24
P037,Rego,1,7,118,6,2023-02-24 08:08:46,38.744582,-9.159954,Estrutura,8,2023-02-24
P030,Combatentes,1,7,30,-2,2023-02-24 08:06:23,38.745735,-9.162904,Superfície,8,2023-02-24
P031,Calçada do Combro,1,7,89,26,2023-02-24 08:06:24,38.711188,-9.147541,Estrutura,8,2023-02-24
P032,Estrada da Luz,1,7,96,5,2023-02-24 08:06:24,38.749827,-9.170943,Superfície,8,2023-02-24
P033,Lumiar,1,7,56,37,2023-02-24 08:06:24,38.773079,-9.159321,Estrutura,8,2023-02-24
P034,Avenida Lusíada,1,7,92,13,2023-02-24 08:06:24,38.75214,-9.188309,Superfície,8,2023-02-24
P025,Campo Grande,1,7,88,63,2023-02-24 08:06:25,38.757586,-9.155495,Superfície,8,2023-02-24
P027,Casal Vistoso,1,7,55,14,2023-02-24 08:06:25,38.742375,-9.128965,Estrutura,8,2023-02-24
P028,Chão do Loureiro,1,7,70,15,2023-02-24 08:06:25,38.712416,-9.135017,Estrutura,8,2023-02-24
P029,Colégio Militar,1,7,255,137,2023-02-24 08:06:23,38.752172,-9.188327,Superfície,8,2023-02-24
P020,Sousa Pinto,1,7,35,1,2023-02-24 08:06:25,38.724475,-9.157032,"Superfície
",8,2023-02-24
P023,Areeiro,1,7,60,14,2023-02-24 08:06:25,38.744081,-9.132344,Superfície,8,2023-02-24
P024,Belém,1,7,75,6,2023-02-24 08:06:24,38.69723,-9.203909,Superfície,8,2023-02-24
P016,Universidade,1,7,146,124,2023-02-24 08:06:26,38.750671,-9.158464,Superfície,8,2023-02-24
P062,Parque da Graça,1,7,30,17,2023-02-24 08:08:40,38.716819,-9.128867,Estrutura,8,2023-02-24
P063,Cosme Damião,1,7,133,7,2023-02-24 08:08:41,38.716819,-9.128867,Estrutura,8,2023-02-24
P064,Olivais,1,7,89,38,2023-02-24 08:08:41,38.716819,-9.128867,Estrutura,8,2023-02-24
P061,Parque Vila Maria,1,7,68,59,2023-02-24 08:08:42,38.725041,-9.166372,Estrutura,8,2023-02-24
P058,Campo de Ourique,1,7,54,36,2023-02-24 08:08:44,38.719168,-9.170647,Estrutura,8,2023-02-24
