id_parque,nome,activo,id_entidade,capacidade_max,ocupacao,data_ocupacao,latitude,longitude,tipo,data_ocupacao_hora,data_ocupacao_data
P042,Alcântara,1,7,82,57,2023-02-27 08:06:48,38.706007,-9.175066,Superfície,8,2023-02-27
P064,Olivais,1,7,89,13,2023-02-27 08:05:43,38.716819,-9.128867,Estrutura,8,2023-02-27
P043,Ameixoeira,1,7,71,16,2023-02-27 08:06:07,38.779591,-9.158056,Superfície,8,2023-02-27
P061,Parque Vila Maria,1,7,68,53,2023-02-27 08:05:50,38.725041,-9.166372,Estrutura,8,2023-02-27
P035,Parque Mayer,1,7,46,0,2023-02-27 08:06:17,38.719062,-9.145547,Superfície,8,2023-02-27
P062,Parque da Graça,1,7,30,25,2023-02-27 08:05:47,38.716819,-9.128867,Estrutura,8,2023-02-27
P037,Rego,1,7,118,8,2023-02-27 08:06:10,38.744582,-9.159954,Estrutura,8,2023-02-27
P063,Cosme Damião,1,7,133,7,2023-02-27 08:05:45,38.716819,-9.128867,Estrutura,8,2023-02-27
P030,Combatentes,1,7,30,7,2023-02-27 08:06:30,38.745735,-9.162904,Superfície,8,2023-02-27
P057,Manuel Gouveia,1,7,90,64,2023-02-27 08:05:53,38.744327,-9.130995,Estrutura,8,2023-02-27
P031,Calçada do Combro,1,7,89,42,2023-02-27 08:06:23,38.711188,-9.147541,Estrutura,8,2023-02-27
P044,Telheiras Nascente,1,7,26,2,2023-02-27 08:06:04,38.761512,-9.164886,Estrutura,8,2023-02-27
P032,Estrada da Luz,1,7,96,8,2023-02-27 08:06:27,38.749827,-9.170943,Superfície,8,2023-02-27
P048,Campo das Cebolas,1,7,105,41,2023-02-27 08:06:00,38.70888,-9.131141,Estrutura,8,2023-02-27
P033,Lumiar,1,7,56,37,2023-02-27 08:06:21,38.773079,-9.159321,Estrutura,8,2023-02-27
P040,Mercado de Alvalade,1,7,93,-3,2023-02-27 08:06:14,38.755424,-9.139498,Superfície,8,2023-02-27
P034,Avenida Lusíada,1,7,92,18,2023-02-27 08:06:20,38.75214,-9.188309,Superfície,8,2023-02-27
P025,Campo Grande,1,7,88,73,2023-02-27 08:06:36,38.757586,-9.155495,Superfície,8,2023-02-27
P027,Casal Vistoso,1,7,55,19,2023-02-27 08:06:37,38.742375,-9.128965,Estrutura,8,2023-02-27
P028,Chão do Loureiro,1,7,70,24,2023-02-27 08:06:34,38.712416,-9.135017,Estrutura,8,2023-02-27
P029,Colégio Militar,1,7,255,100,2023-02-27 08:06:32,38.752172,-9.188327,Superfície,8,2023-02-27
P020,Sousa Pinto,1,7,35,1,2023-02-27 08:06:43,38.724475,-9.157032,"Superfície
",8,2023-02-27
P023,Areeiro,1,7,60,21,2023-02-27 08:06:41,38.744081,-9.132344,Superfície,8,2023-02-27
P024,Belém,1,7,75,10,2023-02-27 08:06:40,38.69723,-9.203909,Superfície,8,2023-02-27
P016,Universidade,1,7,146,130,2023-02-27 08:06:45,38.750671,-9.158464,Superfície,8,2023-02-27
P058,Campo de Ourique,1,7,54,35,2023-02-27 08:05:57,38.719168,-9.170647,Estrutura,8,2023-02-27
